modzcta,modzcta_name,lat,lon,people_tested,people_positive,%_positive,%_at_least_1,%_full_vax
11362,Douglaston-Little Neck,40.756533,-73.736995,503.0,8.0,0.015904572564612324,0.705687314,0.549343121
11363,Douglaston-Little Neck,40.772803,-73.746444,176.0,1.0,0.005681818181818182,0.749444844,0.591783855
11364,Bayside (South)/Oakland Gardens,40.745279,-73.760578,966.0,17.0,0.017598343685300208,0.709165241,0.531650447
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,40.739775,-73.794806,1164.0,23.0,0.019759450171821305,0.639657392,0.453633851
11366,Fresh Meadows/Hillcrest,40.728136,-73.784981,334.0,9.0,0.02694610778443114,0.603306501,0.444445895
11367,Kew Gardens Hills/Pomonok,40.730383,-73.826297,1177.0,18.0,0.015293118096856415,0.542398821,0.389346792
11368,Corona/North Corona,40.749594,-73.852604,3806.0,113.0,0.029689963215974776,0.48381761,0.289393093
11369,Airport/East Elmhurst,40.768944,-73.872812,1342.0,53.0,0.039493293591654245,0.603143682,0.395915985
11370,Jackson Heights/Rikers Island,40.763466,-73.891021,856.0,24.0,0.028037383177570093,0.500651645,0.346570295
11372,Jackson Heights,40.75169,-73.883634,2301.0,49.0,0.021295089091699262,0.696028809,0.478766833
11373,Elmhurst,40.738823,-73.8785,2676.0,62.0,0.023168908819133034,0.730696372,0.486235009
11374,Rego Park,40.726441,-73.861497,1325.0,44.0,0.03320754716981132,0.597424931,0.429434042
11375,Forest Hills,40.720931,-73.846184,2173.0,32.0,0.014726184997699034,0.614453117,0.466332316
11377,Woodside,40.744823,-73.90516,2890.0,90.0,0.031141868512110725,0.668378187,0.459384196
11378,Maspeth,40.724768,-73.909399,1076.0,24.0,0.022304832713754646,0.542448551,0.374526646
11379,Middle Village,40.716758,-73.879597,1105.0,31.0,0.028054298642533938,0.543890503,0.405307406
11385,Glendale/Ridgewood,40.701058,-73.890159,2957.0,89.0,0.030098072370645924,0.488852306,0.337618733
11411,Cambria Heights,40.694202,-73.735998,614.0,23.0,0.03745928338762215,0.396286632,0.293249858
11412,St. Albans,40.698095,-73.758984,1257.0,31.0,0.024661893396976928,0.382583893,0.274072397
11413,Laurelton/Rosedale,40.669738,-73.750842,1329.0,42.0,0.03160270880361174,0.358734205,0.260121934
11414,Hamilton Beach/Howard Beach/Lindenwood,40.658266,-73.844905,839.0,18.0,0.021454112038140644,0.486024228,0.369549545
11415,Kew Gardens,40.708323,-73.828212,555.0,9.0,0.016216216216216217,0.592781448,0.434033274
11416,Ozone Park,40.684652,-73.849549,822.0,38.0,0.046228710462287104,0.548350522,0.362232655
11417,Ozone Park,40.676457,-73.844522,837.0,23.0,0.027479091995221028,0.581572467,0.398969588
11418,Richmond Hill,40.700236,-73.836062,1066.0,57.0,0.05347091932457786,0.556099124,0.385253366
